System_ID,Composite,Active,Active_wt%,Support,Support_wt%,Cocatalyst,Cocatalyst_wt%,avg_band_gap,avg_cbm,avg_vbm,avg_energy_above_hull,avg_formation_energy_per_atom,avg_weighted_surface_energy,avg_weighted_work_function,avg_density,Active_is_gap_direct,Active_is_stable,Active_crystal_system
397,TiO2/nan/C32H16N8Zn,TiO2,99.4,,-5.662137425588298e-15,C32H16N8Zn,0.6,2.2862,4.8517,2.5655,0.0030413275,-3.505014124444444,,,4.105159895594103,False,False,Orthorhombic
398,TiO2/nan/C32H16N8Zn,TiO2,98.7,,-2.886579864025407e-15,C32H16N8Zn,1.3,2.2862,4.8517,2.5655,0.0030413275,-3.505014124444444,,,4.105159895594103,False,False,Orthorhombic
399,TiO2/nan/C32H16N8Zn,TiO2,98.0,,0.0,C32H16N8Zn,2.0,2.2862,4.8517,2.5655,0.0030413275,-3.505014124444444,,,4.105159895594103,False,False,Orthorhombic
400,TiO2/nan/nan,TiO2,100.0,,0.0,,0.0,2.2862,4.8517,2.5655,0.0030413275,-3.505014124444444,,,4.105159895594103,False,False,Orthorhombic
401,TiO2/nan/C32H16N8Co,TiO2,99.0,,0.0,C32H16N8Co,1.0,2.2862,4.8517,2.5655,0.0030413275,-3.505014124444444,,,4.105159895594103,False,False,Orthorhombic
402,TiO2/nan/C32H16N8Co,TiO2,99.3,,2.886579864025407e-15,C32H16N8Co,0.7,2.2862,4.8517,2.5655,0.0030413275,-3.505014124444444,,,4.105159895594103,False,False,Orthorhombic
403,TiO2/nan/I,TiO2,95.0,,0.0,I,5.0,2.17189,4.8517,2.5655,0.0054215743749999505,-3.327231104972222,,,4.135059684241312,False,False,Orthorhombic
404,TiO2/nan/I,TiO2,95.0,,0.0,I,5.0,2.17189,4.8517,2.5655,0.0054215743749999505,-3.327231104972222,,,4.135059684241312,False,False,Orthorhombic
405,TiO2/nan/I,TiO2,95.0,,0.0,I,5.0,2.17189,4.8517,2.5655,0.0054215743749999505,-3.327231104972222,,,4.135059684241312,False,False,Orthorhombic
406,TiO2/nan/I,TiO2,90.0,,0.0,I,10.0,2.05758,4.8517,2.5655,0.0078018212499999014,-3.1494480855,,,4.16495947288852,False,False,Orthorhombic
407,TiO2/nan/I,TiO2,85.0,,5.0,I,10.0,2.045547368421053,4.8517,2.5655,0.008052373552631475,-3.130734083450293,,,4.168106819061911,False,False,Orthorhombic
408,InTaO4/nan/nan,InTaO4,100.0,,0.0,,0.0,3.5727,6.7266,3.1539,0.0,-2.809075625666668,,,8.194696842475858,False,True,Monoclinic
409,InTaO4/nan/N,InTaO4,99.58,,1.7208456881689926e-15,N,0.42,3.58690692,6.70236222,3.1154553000000003,7.047271875e-06,-2.7972704607669927,,,8.164494315436444,False,True,Monoclinic
410,InTaO4/NiNiO/nan,InTaO4,96.8,NiNiO,3.200000000000003,,0.0,3.5727,6.7266,3.1539,0.0,-2.809075625666668,,,8.194696842475858,False,True,Monoclinic
411,Nb2O5/nan/Pt,Nb2O5,99.6,,5.662137425588298e-15,Pt,0.4,1.756944,1.9394,0.1754,0.0006474240393880641,-3.0214210295557145,,,4.324877413448351,False,False,Triclinic
412,HNb3O8/nan/Pt,HNb3O8,99.6,,5.662137425588298e-15,Pt,0.4,0.0,,,0.069093715000001,0.069093715000001,,,20.483944372098154,,,
413,HNb3O8/SiO2/Pt,HNb3O8,99.6,SiO2,5.662137425588298e-15,Pt,0.4,8.025372033593101e-14,6.271,0.6015,0.06909371500000004,0.0690937149999537,,,20.483944372097906,,,
422,Ga2O3/nan/nan,Ga2O3,100.0,,0.0,,0.0,2.4025,4.9844,2.5819,0.011431887000000002,-2.257564781999998,,,6.419638605152237,False,False,Trigonal
423,InNbO4/nan/nan,InNbO4,100.0,,0.0,,0.0,3.0277,6.0667,3.039,0.0,-2.623428141944451,,,6.119882493342202,False,True,Monoclinic
424,InNbO4/nan/NiO,InNbO4,99.5,,0.0,NiO,0.5,3.024066,6.0763305,3.0522645,0.0,-2.6164014277347287,,,6.123093853263585,False,True,Monoclinic
425,InNbO4/nan/NiO,InNbO4,99.0,,0.0,NiO,1.0,3.020432,6.085960999999999,3.065529,0.0,-2.609374713525006,,,6.126305213184969,False,True,Monoclinic
426,InNbO4/nan/Co3O4,InNbO4,99.0,,0.0,Co3O4,1.0,2.997423,6.0667,3.039,0.00010479931428569001,-2.6099924434535775,,,6.120098276232964,False,True,Monoclinic
427,ZnGaNO/nan/Pt,ZnGaNO,96.5,,3.0,Pt,0.5,0.31258041237113404,2.9882,2.674,0.05810627474226805,-1.158999761987758,,,5.698699860940098,False,False,Orthorhombic
428,ZnGaNO/ZnAl2O4/Pt,ZnGaNO,96.0,ZnAl2O4,3.5,Pt,0.5,0.436242,3.1582261306532664,2.719791959798995,0.05607283977500001,-1.224140496425,,,5.661534506425859,False,False,Orthorhombic
429,TiO2/nan/Pt,TiO2,99.5,,0.0,Pt,0.5,2.274769,4.8517,2.5655,0.003371589437500005,-3.487143585247222,,,4.187053817976624,False,False,Orthorhombic
430,CdS/nan/nan,CdS,100.0,,0.0,,0.0,1.0492,1.9171,0.8679,0.0027132225,-0.7738951664062481,,,4.70613765491418,True,False,Cubic
431,Bi2S3/nan/nan,Bi2S3,100.0,,0.0,,0.0,1.361799999999999,5.4726,4.1108,0.0,-0.414615469187504,,,6.602026285137526,False,True,Orthorhombic
432,Bi2S3/CdS/nan,Bi2S3,15.0,CdS,85.0,,0.0,1.0960899999999998,2.450425,1.354335,0.0023062391250000002,-0.7200032118234365,,,4.990520949447681,False,True,Orthorhombic
433,Bi2S3/CdS/nan,Bi2S3,30.0,CdS,70.0,,0.0,1.1429799999999997,2.9837499999999997,1.84077,0.00189925575,-0.6661112572406248,,,5.274904243981184,False,True,Orthorhombic
434,Bi2S3/CdS/nan,Bi2S3,45.0,CdS,55.0,,0.0,1.1898699999999995,3.517075,2.327205,0.0014922723750000002,-0.6122193026578133,,,5.5592875385146865,False,True,Orthorhombic
435,SiC/nan/nan,SiC,100.0,,0.0,,0.0,2.022999999999999,10.0221,7.9991,7.649035088874712e-06,-0.305938795833333,,,3.227773317409295,False,False,Hexagonal
436,Cu2O/nan/nan,Cu2O,100.0,,0.0,,0.0,0.512699999999999,4.6347000000000005,4.122,0.0,-0.6445054383333331,,,6.20494716806907,True,True,Cubic
437,Cu2O/SiC/nan,Cu2O,3.13,SiC,96.87,,0.0,1.9757276099999987,9.85347438,7.877746770000001,7.409620290592933e-06,-0.31653593174358297,,,3.3209588589349455,True,True,Cubic
453,Ag0.09In0.23Zn1.61S2/nan/RuO2,Ag0.09In0.23Zn1.61S2,99.0,,0.0,RuO2,1.0,0.0,,,0.06483860250000001,-1.392823295833332,,,7.78471911265118,,,
454,Cu0.23Ag0.21In0.19Zn1.50S2/nan/RuO2,Cu0.23Ag0.21In0.19Zn1.50S2,99.0,,0.0,RuO2,1.0,0.0,,,0.06483860250000001,-1.392823295833332,,,7.78471911265118,,,
455,Cu0.30Ag0.07In0.34Zn1.31S2/nan/RuO2,Cu0.30Ag0.07In0.34Zn1.31S2,99.0,,0.0,RuO2,1.0,0.0,,,0.06483860250000001,-1.392823295833332,,,7.78471911265118,,,
456,Cu0.12Ag0.30In0.38Zn1.22S2/nan/RuO2,Cu0.12Ag0.30In0.38Zn1.22S2,99.0,,0.0,RuO2,1.0,0.0,,,0.06483860250000001,-1.392823295833332,,,7.78471911265118,,,
457,Cu0.45Ag0.13In0.24Zn1.35S2/nan/RuO2,Cu0.45Ag0.13In0.24Zn1.35S2,99.0,,0.0,RuO2,1.0,0.0,,,0.06483860250000001,-1.392823295833332,,,7.78471911265118,,,
458,Cu0.37Ag0.15In0.80Zn0.54S2/nan/RuO2,Cu0.37Ag0.15In0.80Zn0.54S2,99.0,,0.0,RuO2,1.0,0.0,,,0.06483860250000001,-1.392823295833332,,,7.78471911265118,,,
459,Cu0.05Ag0.20In0.06Zn1.78S2/nan/RuO2,Cu0.05Ag0.20In0.06Zn1.78S2,99.0,,0.0,RuO2,1.0,0.0,,,0.06483860250000001,-1.392823295833332,,,7.78471911265118,,,
460,Cu0.48Ag0.34In0.36Zn1.05S2/nan/RuO2,Cu0.48Ag0.34In0.36Zn1.05S2,99.0,,0.0,RuO2,1.0,0.0,,,0.06483860250000001,-1.392823295833332,,,7.78471911265118,,,
461,Cu0.12Ag0.13In0.57Zn1.02S2/nan/RuO2,Cu0.12Ag0.13In0.57Zn1.02S2,99.0,,0.0,RuO2,1.0,0.0,,,0.06483860250000001,-1.392823295833332,,,7.78471911265118,,,
